Centro de Operaciones,Código Bodega,Bodega,Código Artículo,Artículo,Código Ubicación,Ubicación,Código Categoría,Categoría,U/Medida,Cantidad Período Anterior,Costo Período Anterior,Cantidad Entradas,Costo Entradas,Cantidad Salidas,Costo Salidas,Cantidad Período,Costo Período,Cantidad Reservada Período,Existencia Período,Costo Unitario,Estatus
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0018,ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX MORADO XQRE036,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             271.00,                             230.35,                               1.00,                               0.85,                              35.00,                              29.75,                             237.00,                             201.45,                               0.00,                             237.00,                               0.85,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0020,ANILLO JOY VIBRADOR RETARDANTE POTENTE LATEX FUCSIA XQRE036,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                             272.00,                             231.20,                               0.00,                               0.00,                              16.00,                              13.60,                             256.00,                             217.60,                               0.00,                             256.00,                               0.85,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0021,ANILLO VIBRADOR RETARDANTE ESTIMULADOR CLITORIS HDH001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               0.00,                               0.00,                               2.00,                               0.58,                               1.00,                               0.29,                               1.00,                               0.29,                               0.00,                               1.00,                               0.29,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0023,ANTENA MINI USB WIFFI 150 MBPS CON ANTENA,U001,Ubicación Principal,PRO-22,REDES INALAMBRICAS,Unid,                             139.00,                             153.47,                               1.00,                               1.10,                              16.00,                              17.60,                             124.00,                             136.97,                               0.00,                             124.00,                               1.10,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0025,ARNE REALISTICO CON CINTURON QBTG7801,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               1.00,                               2.48,                               0.00,                               0.00,                               0.00,                               0.00,                               1.00,                               2.48,                               0.00,                               1.00,                               2.48,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0047,BALA VIBRADORA CON FUNDA DRAGON ROSADO LXB001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              13.00,                              15.41,                               2.00,                               2.38,                              10.00,                              11.90,                               5.00,                               5.89,                               0.00,                               5.00,                               1.18,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0049,BALA VIBRADORA CON FUNDA DRAGON ROJA LXB001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              26.00,                              30.68,                               0.00,                               0.00,                               6.00,                               7.08,                              20.00,                              23.60,                               0.00,                              20.00,                               1.18,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0050,BALA VIBRADORA CON FUNDA DRAGON AZUL LXB001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                              10.00,                              11.75,                               0.00,                               0.00,                               3.00,                               3.54,                               7.00,                               8.21,                               0.00,                               7.00,                               1.18,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0052,BALA VIBRADORA GRANDE COLORES AZUL CZDV001,U001,Ubicación Principal,PRO-08,ADULTOS,Unid,                               2.00,                               1.28,                               0.00,                               0.00,                               0.00,                               0.00,                               2.00,                               1.28,                               0.00,                               2.00,                               0.64,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0058,BALANZA PERSONAL 180 KG,U001,Ubicación Principal,PRO-18,SALUD,Unid,                               0.00,                               0.00,                               7.00,                              32.68,                               6.00,                              27.92,                               1.00,                               4.76,                               0.00,                               1.00,                               4.76,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0061,BASE LAPTO M25 ERGOSTAND,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                              99.00,                             604.06,                               0.00,                               0.00,                              16.00,                              97.60,                              83.00,                             506.46,                               0.00,                              83.00,                               6.10,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0062,BASE TV FIJA 14-43 B27,U001,Ubicación Principal,PRO-11,HOGAR,Unid,                             109.00,                             267.91,                               0.00,                               0.00,                               5.00,                              12.30,                             104.00,                             255.61,                               0.00,                             104.00,                               2.46,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0065,"""BASE TV INCLINACION 15-42"""" HT-001""",U001,Ubicación Principal,PRO-11,HOGAR,Unid,                             121.00,                             499.73,                               0.00,                               0.00,                               0.00,                               0.00,                             121.00,                             499.73,                               0.00,                             121.00,                               4.13,ACTIVO
Sede PGR 2023 - 006,ALM-TIE,ALMACEN TIENDA,MASS0122,CARGADOR LAPTO UNIVERSAL DE 12V A 24V,U001,Ubicación Principal,PRO-15,COMPUTACION,Unid,                             127.00,                             376.77,                               1.00,                               2.97,                              15.00,                              44.55,                             113.00,                             335.19,                               0.00,                             113.00,                               2.97,ACTIVO
